year,S,P,M,F
1010,45,64,66,61
1011,40,75,68,9
1012,84,77,70,39
1013,16,56,44,70
1014,13,47,26,33
1015,83,44,35,33
1016,19,58,56,61
1017,79,9,64,4
1018,13,17,39,91
1019,93,5,90,5
1020,70,10,5,3
1021,66,76,11,1
1022,99,45,83,7
1023,50,51,23,51
1024,85,18,87,67
1025,44,58,22,15
1026,39,78,76,78
1027,94,36,49,86
1028,34,13,99,49
1029,43,47,95,79
1030,13,19,16,40
1031,31,37,100,86
1032,64,34,31,73
1033,3,90,87,63
1034,13,37,67,90
1035,61,89,95,15
1036,75,95,10,10
1037,57,46,13,21
1038,77,66,26,5
1039,51,76,30,72
1040,71,50,56,59
1041,8,96,11,46
1042,69,34,31,42
1043,67,48,87,76
1044,55,89,85,66
1045,19,90,8,87
1046,82,34,99,18
1047,74,78,48,54
1048,75,69,12,24
1049,40,21,82,14
1050,18,72,37,49
1051,36,69,15,49
1052,17,7,50,54
1053,69,61,58,53
1054,45,27,100,43
1055,89,82,1,25
1056,13,84,90,50
1057,44,78,16,96
1058,66,46,39,40
1059,68,39,38,45
1060,27,16,35,99
1061,38,26,85,23
1062,67,73,13,21
1063,90,50,9,8
1064,35,100,57,26
1065,94,91,45,52
1066,86,89,90,72
1067,93,17,10,30
1068,12,51,54,52
1069,43,53,29,58
1070,60,91,76,4
1071,42,96,79,14
1072,29,69,11,30
1073,79,63,69,95
1074,52,71,53,56
1075,25,70,73,32
1076,86,80,55,90
1077,62,53,12,81
1078,50,30,16,62
1079,98,57,11,30
1080,87,27,86,13
1081,47,73,27,50
1082,85,60,35,62
1083,37,46,94,23
1084,79,18,30,62
1085,81,95,35,77
1086,25,55,94,56
1087,42,6,93,53
1088,97,37,85,16
1089,40,57,56,70
1090,45,82,59,88
1091,83,82,13,78
1092,62,70,73,18
1093,68,61,9,70
1094,24,43,98,69
1095,1,13,84,67
1096,2,77,71,86
1097,89,65,9,46
1098,82,48,1,21
1099,96,29,7,69
1100,38,11,10,4
1101,77,74,20,43
1102,50,54,82,87
1103,30,74,49,28
1104,50,11,74,89
1105,82,56,91,73
1106,67,90,51,15
1107,68,37,12,62
1108,60,99,94,94
1109,82,7,7,83
1110,96,91,28,48
1111,95,23,31,4
1112,47,1,68,75
1113,40,60,90,24
1114,83,45,22,28
1115,15,7,32,20
1116,1,91,7,90
1117,60,2,73,26
1118,14,51,99,19
1119,47,18,81,21
1120,48,58,26,66
1121,5,100,71,62
1122,73,37,17,70
1123,19,59,64,43
1124,98,73,7,45
1125,31,17,82,96
1126,47,22,63,46
1127,41,99,30,37
1128,89,37,18,81
1129,98,56,81,78
1130,80,49,85,78
1131,15,90,47,48
1132,34,81,1,59
1133,49,17,63,41
1134,25,51,6,100
1135,34,14,68,10
1136,2,16,88,12
1137,56,69,6,30
1138,56,43,59,73
1139,22,47,66,82
1140,45,8,44,76
1141,85,84,4,81
1142,78,94,90,89
1143,15,40,65,88
1144,84,15,6,33
1145,17,97,18,20
1146,59,7,67,27
1147,77,89,8,41
1148,73,27,23,34
1149,58,17,8,43
1150,62,51,77,88
1151,37,66,10,63
1152,97,69,93,93
1153,61,67,53,26
1154,88,18,3,5
1155,78,29,34,34
1156,92,34,59,89
1157,85,26,21,64
1158,4,97,41,88
1159,91,57,25,40
1160,71,34,69,46
1161,28,63,46,12
1162,27,71,18,27
1163,83,36,3,77
1164,9,39,46,4
1165,70,58,64,77
1166,86,15,40,41
1167,79,69,21,40
1168,12,62,95,99
1169,16,33,29,88
1170,50,62,76,42
1171,57,10,63,88
1172,48,19,56,58
1173,35,81,63,84
1174,23,46,26,65
1175,31,35,74,93
1176,16,94,76,8
1177,70,48,86,69
1178,63,96,50,17
1179,24,58,21,19
1180,33,95,76,70
1181,35,75,77,35
1182,41,84,82,2
1183,53,71,1,91
1184,15,61,7,39
1185,49,75,7,33
1186,75,28,64,34
1187,100,87,12,19
1188,44,12,46,83
1189,57,82,84,20
1190,6,89,78,41
1191,35,61,71,30
1192,59,24,36,60
1193,93,69,63,1
1194,42,12,64,8
1195,27,62,89,48
1196,48,29,52,60
1197,77,97,93,70
1198,72,51,99,91
1199,50,85,81,56
1200,40,39,20,42
1201,61,94,31,64
1202,3,4,70,98
1203,91,13,84,4
1204,24,56,52,20
1205,31,73,52,86
1206,10,1,99,93
1207,86,32,65,7
1208,42,6,12,37
1209,89,42,95,53
1210,83,15,45,63
1211,15,24,80,27
1212,10,40,27,30
1213,32,18,88,24
1214,46,10,5,27
1215,44,83,41,93
1216,57,64,49,27
1217,63,71,48,75
1218,49,27,36,29
1219,79,70,43,79
1220,94,22,35,37
1221,82,10,7,88
1222,59,89,100,5
1223,96,27,54,93
1224,75,33,83,60
1225,99,15,62,77
1226,40,61,56,53
1227,90,32,90,20
1228,69,95,87,12
1229,94,87,80,87
1230,100,20,98,77
1231,22,54,96,14
1232,23,42,97,66
1233,91,42,14,8
1234,60,33,41,56
1235,25,7,55,68
1236,31,99,37,25
1237,91,27,29,94
1238,97,50,59,8
1239,71,15,36,84
1240,30,64,4,9
1241,22,10,45,50
1242,28,72,17,99
1243,16,71,38,81
1244,8,49,84,87
1245,87,73,72,19
1246,60,54,6,69
1247,61,86,64,40
1248,59,64,96,24
1249,19,100,69,51
1250,3,28,99,82
1251,68,3,7,49
1252,98,78,69,86
1253,80,69,27,6
1254,47,59,52,43
1255,2,62,97,83
1256,69,45,1,66
1257,40,70,34,33
1258,94,55,11,34
1259,73,69,82,82
1260,1,40,33,42
1261,33,80,53,27
1262,62,21,74,52
1263,66,31,83,87
1264,41,68,37,26
1265,24,50,43,1
1266,61,66,53,83
1267,71,39,30,25
1268,29,58,23,83
1269,3,80,13,49
1270,57,57,64,22
1271,49,96,96,52
1272,66,15,80,31
1273,100,32,92,10
1274,36,9,82,12
1275,59,98,26,92
1276,46,35,25,54
1277,37,92,24,43
1278,53,72,18,61
1279,10,45,70,84
1280,17,71,23,44
1281,26,33,18,4
1282,90,46,54,15
1283,42,92,45,25
1284,53,77,70,28
1285,24,88,24,66
1286,35,89,42,16
1287,12,13,33,69
1288,71,36,13,11
1289,100,99,4,10
1290,47,74,97,63
1291,21,2,39,81
1292,85,6,86,70
1293,70,1,46,98
1294,81,66,41,60
1295,65,99,46,63
1296,48,44,49,71
1297,20,32,62,20
1298,86,25,67,84
1299,25,15,42,42
1300,23,21,48,40
1301,15,80,61,95
1302,57,11,25,91
1303,15,37,76,11
1304,35,45,84,6
1305,9,38,87,30
1306,34,73,56,77
1307,66,50,77,67
1308,95,36,96,81
1309,1,51,91,44
1310,59,38,97,66
1311,34,44,69,38
1312,77,18,87,50
1313,38,17,73,26
1314,93,28,36,11
1315,11,63,35,67
1316,31,47,18,56
1317,36,5,66,82
1318,12,100,98,92
1319,1,97,27,65
1320,26,61,47,37
1321,98,80,63,98
1322,53,19,25,89
1323,14,6,55,48
1324,11,39,14,31
1325,1,38,42,11
1326,28,40,63,51
1327,35,61,20,63
1328,24,2,10,17
1329,63,36,57,82
1330,92,22,95,47
1331,6,55,27,8
1332,42,14,3,66
1333,53,80,67,41
1334,64,13,26,18
1335,86,24,56,59
1336,52,76,57,22
1337,51,7,59,95
1338,1,68,70,63
1339,32,19,77,50
1340,43,2,92,59
1341,20,96,9,17
1342,67,7,59,20
1343,42,85,16,44
1344,99,23,74,40
1345,14,28,90,36
1346,85,33,61,59
1347,99,42,85,11
1348,65,45,30,50
1349,25,9,37,5
1350,65,69,1,9
1351,15,36,80,52
1352,38,1,75,54
1353,41,10,27,59
1354,66,35,49,54
1355,48,35,98,98
1356,90,13,2,29
1357,70,39,34,58
1358,49,34,51,77
1359,39,56,4,4
1360,54,83,52,6
1361,6,43,77,24
1362,74,21,73,78
1363,97,60,86,14
1364,6,73,93,98
1365,60,22,2,12
1366,69,69,86,25
1367,91,80,54,96
1368,85,93,19,44
1369,2,17,37,11
1370,42,23,42,2
1371,54,99,90,24
1372,56,21,87,25
1373,21,64,28,88
1374,17,12,64,11
1375,2,79,14,92
1376,52,17,39,73
1377,61,35,25,69
1378,51,51,73,72
1379,90,3,83,64
1380,33,74,24,50
1381,55,95,33,89
1382,8,78,96,92
1383,36,74,4,49
1384,87,80,10,28
1385,17,9,43,42
1386,45,27,57,27
1387,52,27,94,66
1388,56,14,89,59
1389,98,54,76,5
1390,40,89,94,12
1391,62,2,15,39
1392,46,37,90,95
1393,69,52,94,3
1394,25,76,49,46
1395,4,51,99,44
1396,38,27,27,45
1397,59,64,85,8
1398,23,60,45,53
1399,63,8,38,81
1400,56,72,82,41
1401,53,15,52,5
1402,83,15,83,70
1403,81,62,16,19
