id,abb,info,geb,tod,sex,gebOrt,todOrt
10001,P,Habsburg; Ferdinand III. (1608–1657); Kaiser des Heiligen Römischen Reiches,1608,1657,m,Graz,Wien:Kapuzinergruft
10002,P,Thun; Christoph Simon (1582–1635); Großprior des Malteserordens in Ungarn,1582,1635,m,Kastelpfund,Wien
10003,S,Trauttmansdorff; Maximilian (1584–1650); Obersthofmeister,1584,1650,m,Gleichenberg in der Steiermark,Wien:Franziskanerkirche
10004,M,Auersperg; Johann Weikhard (1615–1677); Obersthofmeister,1615,1677,m,Seisenberg in der Krain,Laibach:Franziskanerkirche
10005,M,Dietrichstein; Siegmund Ludwig (1600–1653); Hofkammerpräsident von Innerösterreich,1600,1653,m,Weixelstätten,Graz
10006,S,Habsburg; Leopold Wilhelm (1614–1662); Statthalter der Spanischen Niederlande,1614,1662,m,Neustadt im Steinfeld,Wien:Kapuzinergruft
10007,S,Thun; Johann Siegmund (1594–1646); Statthalter von Böhmen,1594,1646,m,Kastelpfund,Tetschen
10008,NULL,Bubna; Heinrich Johann (1596–1653); Landeshauptmann von Glatz,1596,1653,m,Litice im Adlergebirge,Glatz
10009,S,Breunner; Siegfried Christoph (1569–1651); Statthalter von Niederösterreich,1569,1651,m,Staatz im Weinviertel,Asparn an der Zaya
10010,S,Kuefstein; Johann Ludwig (1582–1656); Landeshauptmann von Oberösterreich,1582,1656,m,Greillenstein,Linz an der Donau
10011,S,Kurtz von Senftenau; Ferdinand Siegmund (1592–1659); Reichsvizekanzler,1592,1659,m,München,Wien
10012,S,Habsburg; Ferdinand II. (1578–1637); Kaiser des Heiligen Römischen Reiches,1578,1637,m,Graz,Wien
10013,P,Lippay; Georg (1600–1666); Erzbischof von Gran,1600,1666,m,Pressburg,Tyrnau
10014,S,Mannagetta; Johann Wilhelm (1588–1666); Hofarzt,1588,1666,m,Wilhelmsburg an der Traisen,Wien
10015,S,Mansfeld; Bruno (1576–1644); Oberstjägermeister,1576,1644,m,Bornstedt im Harz,Wien
10016,S,Marradas; Balthasar (1560–1638); Statthalter von Böhmen,1560,1638,m,Valencia,Prag
10017,P,Martinitz; Jaroslaus (1582–1649); Oberstburggraf von Prag,1582,1649,m,Prag,Prag
10018,S,Meggau; Franziska (1609–1676); Obersthofmeisterin,1609,1676,w,Wien,Wien
10019,S,Oettingen; Ernst (1594–1670); Reichshofratspräsident,1594,1670,m,Wallerstein,Wien
10020,S,Oettingen; Wolfgang (1629–1708); Obersthofmeister,1629,1708,m,Wallerstein,Wien
10021,P,Dietrichstein; Maximilian (1596–1655); Obersthofmeister,1596,1655,m,Nikolsburg in Mähren,Wien
10022,S,Wolfradt; Anton (1581–1639); Bischof von Wien,1581,1639,m,Köln am Rhein,Wien:Stephansdom
10023,P,Slavata; Wilhelm (1572–1652); Oberstkanzler von Böhmen,1572,1652,m,Čestín,Wien
10024,S,Meggau; Leonhard Helfried (1577–1644); Obersthofmeister,1577,1644,m,Kreuzen im Mühlviertel,Greinburg
10025,NULL,Thun; Christoph Simon (1615–1643); Mundschenk,1615,1643,m,Kastelpfund,Brieg
10026,S,Mansfeld; Wolfgang (1575–1638); Geheimer Rat,1575,1638,m,Bornstedt im Harz,Jauer an der Raab
10027,S,Leslie; Walter (1606–1667); Geheimer Rat,1606,1667,m,Balquhain,Wien:Schottenkirche
10028,NULL,Hohenzollern; Georg Friedrich (1604–1633); Kämmerer,1604,1633,m,Hechingen,Uttenweiler
10029,S,Pálffy; Johann (1588–1646); Ungarischer Kronhüter,1588,1646,m,Bibersburg,Pressburg
10030,S,Waldstein; Albrecht (1583–1634); Oberbefehlshaber der Streitkräfte,1583,1634,m,Hermanitz an der Elbe,Eger in Böhmen
10031,S,Waldstein; Maximilian (1598–1655); Oberstkämmerer,1598,1655,m,Znaim,Wien:Augustinerkirche
10032,S,Pálffy; Stephan (1586–1646); Ungarischer Kronhüter,1586,1646,m,Bibersburg,Wien
10033,S,Pálffy; Niklas (1593–1621); Kämmerer,1593,1621,m,Bibersburg,
10034,S,Pálffy; Paul (1592–1653); Palatin von Ungarn,1592,1653,m,Bibersburg,Pressburg
10035,S,Pálffy; Niklas (1552–1600); Geheimer Rat,1552,1600,m,Csábrág,Bibersburg
10036,S,Pálffy; Niklas (1620–1679); Ungarischer Kronhüter,1620,1679,m,Pressburg,Pressburg
10037,S,Stralendorff; Peter Heinrich (1577–1637); Reichsvizekanzler,1577,1637,m,Heiligenstadt im Eichsfeld,Wien:Minoritenkirche
10038,S,Stralendorff; Leopold (1545–1626); Reichsvizekanzler,1545,1626,m,Goldebee,Heiligenstadt im Eichsfeld
10039,S,Mörsperg; Julius Neidhard (1590–1642); Geheimer Rat,1590,1642,m,,
10040,S,Habsburg; Ferdinand IV. (1633–1654); König des Heiligen Römischen Reiches,1633,1654,m,Wien,Wien:Kapuzinergruft
10041,S,Waldstein; Adam (1569–1638); Oberstburggraf von Prag,1569,1638,m,Perutz,Prag
10042,S,Carretto; Franz (1593–1651); Markgraf von Grana,1593,1651,m,Mantova,Madrid
10043,P,Gallas; Matthias (1588–1647); Geheimer Rat,1588,1647,m,Trient,Wien
10044,NULL,Reck; Johann (1584–1647); Reichshofratspräsident,1584,1647,m,Steinfurt im Dreingau,Köln am Rhein
10045,M,Schwarzenberg; Johann Adolf (1615–1683); Obersthofmeister,1615,1683,m,Waibelskirchen in Lothringen,Laxenburg
10046,S,Teuffenbach; Rudolf (1582–1653); Geheimer Rat,1582,1653,m,Graz,Prag
10047,S,Khevenhüller; Franz Christoph (1588–1650); Geheimer Rat,1588,1650,m,Landskron in Kärnten,Baden am Gebirge
10048,M,Trautson; Johann Franz (1605–1663); Statthalter von Niederösterreich,1605,1663,m,Wien,Wien:Michaelerkirche
10049,S,Schlick; Heinrich (1583–1650); Hofkriegsratspräsident,1583,1650,m,Eger in Böhmen,Wien
10050,P,Habsburg; Leopold I. (1640–1705); Kaiser des Heiligen Römischen Reiches,1640,1705,m,Wien,Wien
10051,P,Liechtenstein von Nikolsburg; Karl (1569–1627); Landeshauptmann von Mähren,1569,1627,m,Feldsberg im Weinviertel,Prag
10052,S,Liechtenstein von Nikolsburg; Maximilian (1578–1643); Oberststallmeister,1578,1643,m,Feldsberg im Weinviertel,Jauer an der Raab
10053,S,Liechtenstein von Nikolsburg; Gundaker (1580–1658); Obersthofmeister,1580,1658,m,Eisgrub in Mähren,Wilfersdorf im Weinviertel
10054,NULL,Savelli; Friedrich (1585–1649),1585,1649,m,Rom,Rom
10055,S,Colloredo; Johann Baptist (1598–1649),1598,1649,m,Colloredo di Monte Albano,Heraklion
10056,S,Beck von Beaufort; Johann (1588–1648); Kämmerer,1588,1648,m,Stadtgrund in Luxemburg,Atrecht
10057,NULL,Lobkowicz; Ulrich Adam (1610–1649); Kämmerer,1610,1649,m,,
10058,P,Lobkowicz; Wenzel Euseb (1609–1677); Obersthofmeister,1609,1677,m,Raudnitz an der Elbe,Raudnitz an der Elbe
10059,NULL,Lobkowicz; Christoph Ferdinand (1614–1658); Statthalter von Schlesien,1614,1658,m,,Prag
10060,P,Habsburg; Maximilian II. (1527–1576); Kaiser des Heiligen Römischen Reiches,1527,1576,m,Wien,Regensburg
10061,P,Waldstein; Ferdinand Ernst (1624–1657); Oberstlandkämmerer von Böhmen,1624,1657,m,,Prag
10062,NULL,Waldstein; Berthold (1604–1632); Kämmerer,1604,1632,m,,Lützen
10063,NULL,Waldstein; Maximilian Adam (1627–1706); Reichshofrat,1627,1706,m,,Wien
10064,P,Waldstein; Burian Lassel (1596–1645); Kämmerer,1596,1645,m,,Prag
10065,NULL,Waldstein; Johann Viktorin (1616–1673); Kämmerer,1616,1673,m,,
10066,S,Waldstein; Karl Ferdinand (1634–1702); Obersthofmeister,1634,1702,m,,Wien
10067,NULL,Waldstein; Adam Franz (1625–1666); Kämmerer,1625,1666,m,,
10068,S,Marschall von Pappenheim; Gottfried Heinrich (1594–1632); Reichshofrat,1594,1632,m,Treuchtlingen,Lützen
10069,S,Marschall von Pappenheim; Wolfgang Adam (1618–1647); Kämmerer,1618,1647,m,,Prag
10070,S,Tserclaes von Tilly; Johann (1559–1632); Hofkriegsrat,1559,1632,m,Tilly in Brabant,Ingolstadt
10071,S,Sinzendorf; Rudolf (1625–1677); Reichshofrat,1625,1677,m,Ernstbrunn,
10072,S,Piccolomini; Oktavius (1599–1656); Geheimer Rat,1599,1656,m,Pisa,Wien
10073,S,Esterházy; Niklas (1583–1645); Palatin von Ungarn,1583,1645,m,Gallandau,Eisenstadt im Burgenland
10074,S,Thurn; Heinrich Matthias (1567–1640); Burggraf von Karlstein,1567,1640,m,Lipnitz an der Sasau,Pernau in Livland
10075,P,Khlesl; Melchior (1552–1630); Bischof von Wien,1552,1630,m,Wien,Neustadt im Steinfeld
10076,S,Puchheim; Johann Rudolf (1600–1651); Oberstkämmerer,1600,1651,m,Göllersdorf,Wien:Minoritenkirche
10077,S,Puchheim; Johann Christoph (1605–1657); Geheimer Rat,1605,1657,m,Göllersdorf,Prag
10078,S,Gonzaga; Hannibal (1602–1668); Obersthofmeister,1602,1668,m,Bozzolo,Wien:Franziskanerkirche
10079,NULL,Salm; Maximilian (1563–    ); Oberststallmeister,1563,,m,Neuburg am Inn,
10080,P,Habsburg; Rudolf II. (1552–1612); Kaiser des Heiligen Römischen Reiches,1552,1612,m,Wien,Prag
10081,S,Khisl von Kaltenbrunn; Johann Jakob (1565–1638); Oberstkämmerer,1565,1638,m,Kaltenbrunn an der Laibach,Wien
10082,M,Eggenberg; Johann Ulrich (1568–1634); Obersthofmeister,1568,1634,m,Graz,Laibach
10083,S,Porcia; Johann Ferdinand (1605–1665); Obersthofmeister,1605,1665,m,Venedig,Wien
10084,P,Lamberg; Johann Maximilian (1608–1682); Obersthofmeister,1608,1682,m,Brünn in Mähren,Wien
