id,abb,info,geb,tod,sex,gebOrt,todOrt,alter
19900,P,Este; Albrecht (1009–1097); Markgraf von Mailand,1009,1097,m,,Vangadizza del Polesine:Kamaldulenserkloster,88
19921,P,Este; Wolfgang (1035–1101); Herzog in Bayern,1035,1101,m,,Paphos,66
19901,P,Este; Volkhard (1055–1128); Markgraf von Mailand,1055,1128,m,,,73
19922,P,Este; Heinrich (1075–1126),1075,1126,m,,Ravensburg im Schussental,51
11415,M,Askanien; Albrecht (1100–1170); Markgraf von Brandenburg,1100,1170,m,Ballenstedt im Harz,Stendal in der Altmark,70
17020,P,Rosenberg; Widukind (1120–1194),1120,1194,m,Purschitz,Prachin,74
11416,M,Askanien; Otto (1128–1184); Markgraf von Brandenburg,1128,1184,m,,Lehnin in der Zauche:Klosterkirche,56
11631,M,Askanien; Bernhard (1140–1212),1140,1212,m,,Bernburg an der Saale,72
18631,F,Montfort; Haug (1160–1228),1160,1228,m,,Feldkirch in Vorarlberg,68
19904,P,Este; Albrecht (1160–1212),1160,1212,m,,,52
17021,M,Rosenberg; Widukind (1170–1256),1170,1256,m,Purschitz,Sankt Florian an der Enns,86
11741,M,Askanien; Albrecht (1180–1261),1180,1261,m,,Lehnin in der Zauche:Klosterkirche,81
11461,S,Hohenzollern; Konrad (1186–1261); Burggraf von Nürnberg,1186,1261,m,Hechingen,Nürnberg,75
11400,M,Habsburg; Albrecht (1188–1239); Landgraf im Elsass,1188,1239,m,Habsburg im Aargau,Askalon,51
16038,M,Hohenberg; Burkhard (1190–1253),1190,1253,m,Hohenberg im Zollernalbkreis,,63
14860,P,Liechtenstein von Murau; Ulrich (1200–1275); Truchsess,1200,1275,m,Liechtenstein in der Steiermark,Frauenburg in der Steiermark,75
11900,F,Habsburg; Rudolf I. (1218–1291); König des Heiligen Römischen Reiches,1218,1291,m,Limburg im Breisgau,Speyer:Dom,73
17210,M,Rosenberg; Wolfgang (1218–1262); Landeshauptmann der Steiermark,1218,1262,m,Rosenberg in Böhmen,Graz,44
11020,P,Sternberg; Jaroslaus (1220–1287),1220,1287,m,Chlumec an der Cidlina,Prag,67
11742,M,Askanien; Johann (1230–1285),1230,1285,m,,Wittenberg in Sachsen:Franziskanerkirche,55
16040,F,Hohenberg; Anna (1230–1281); Königin des Heiligen Römischen Reiches,1230,1281,w,Hohenberg im Zollernalbkreis,Wien,51
