Rang,Stadt,Gesamtwertung,Verwaltung,ITundKommunikation,EnergieundUmwelt,Mobilität,Gesellschaft
1,Hamburg,79.5,70.6,82.7,61.4,93.7,89.3
2,Karlsruhe,69.0,65.1,67.8,54.4,95.2,62.5
3,Stuttgart,68.6,57.6,78.0,52.5,97.0,57.8
4,Berlin,68.1,76.3,69.3,52.0,75.5,67.3
5,München,67.7,73.0,82.2,49.0,83.8,50.3
6,Heidelberg,65.6,69.3,56.8,55.1,87.5,59.0
7,Bonn,62.4,75.8,66.4,31. Mrz,64.7,73.9
8,Köln,62.3,68.4,83.5,40.7,54.7,63.9
9,Dortmund,61.7,75.3,54.0,49.6,59.3,70.4
10,Darmstadt,61.1,66.6,61.9,55.9,59.1,62.0
11,Aachen,60.7,56.1,68.4,46.1,75.6,57.5
12,Frankfurt am Main,59.6,53.3,65.0,36.4,67.1,76.3
13,Düsseldorf,57.6,49.4,67.1,33.7,81.8,56.0
14,Dresden,57.1,58.1,53.8,33.8,85.2,54.6
15,Potsdam,56.2,55.5,54.3,45.6,73.0,52.6
16,Kiel,55.8,54.6,68.7,51.3,48.9,55.4
17,Leipzig,55.7,61.4,64.1,47.5,46.6,58.8
18,Nürnberg,55.6,68.7,62.0,42.6,65.9,38.9
19,Bielefeld,55.1,73.6,44.5,38.1,64.3,55.1
20,Mannheim,54.6,77.6,66.1,27. Mrz,46.0,56.2
21,Ingolstadt,54.5,72.1,63.5,43.6,45.2,48.3
22,Wuppertal,54.4,58.3,53.1,29. Jul,45.1,85.9
23,Hannover,53.9,67.9,63.9,50.4,51.5,35.7
24,Augsburg,53.5,73.3,58.4,41.0,45.6,49.2
25,Freiburg im Breisgau,53.3,60.1,57.9,39.4,43.9,65.5
26,Wiesbaden,53.1,58.2,80.8,33.1,49.9,43.7
27,Münster,52.6,64.1,47.2,50.9,48.2,52.6
28,Braunschweig,50.0,52.3,59.0,37.6,47.7,53.4
29,Ulm,49.7,44.2,72.9,37.5,27.0,66.7
30,Erfurt,49.3,51.4,43.4,36.4,61.9,53.6
31,Osnabrück,49.2,62.6,61.4,42.3,48.6,31.0
32,Bochum,48.8,44.2,64.9,26. Mai,43.4,65.2
33,Duisburg,48.5,56.6,52.8,34.6,56.4,42.3
34,Oldenburg,48.2,47.3,71.0,53.8,29. Aug,39.3
35,Kassel,48.2,52.9,48.5,30. Mai,48.3,60.7
36,Halle (Saale),48.1,65.2,45.6,21. Jun,46.9,61.4
37,Wolfsburg,48.1,70.2,50.2,29. Jul,45.2,45.1
38,Bremen,47.9,48.5,63.4,28. Jul,60.7,38.1
39,Paderborn,47.4,55.0,59.6,35.1,40.2,47.1
40,Regensburg,46.9,34.2,63.6,41.2,35.8,59.5
41,Trier,46.7,56.3,45.3,45.3,31. Jul,54.8
42,Hamm,45.7,41.7,44.6,33.1,60.2,48.8
43,Magdeburg,45.6,64.1,45.0,29. Apr,29. Mai,60.1
44,Solingen,45.2,53.6,64.4,46.3,19. Jun,41.9
45,Gelsenkirchen,44.5,39.3,66.2,23. Aug,41.4,52.0
46,Jena,44.4,63.1,57.6,28. Jun,24. Jun,48.1
47,Göttingen,43.7,56.7,44.8,35.4,52.1,29. Apr
48,Moers,42.7,54.4,59.1,22. Aug,38.2,39.3
49,Krefeld,42.5,52.1,45.5,29. Sep,36.7,48.2
50,Gütersloh,42.1,58.1,43.3,31. Mrz,33.6,44.4
51,Mönchengladbach,42.1,61.0,60.2,28. Jan,31.6,29. Jun
52,Essen,41.7,57.2,36.7,31. Aug,46.4,36.3
53,Bottrop,41.6,53.0,39.0,45.2,31.0,39.9
54,Erlangen,41.5,48.2,63.2,34.3,30.0,31. Aug
55,Rostock,41.0,31.2,45.7,37.2,37.9,52.9
56,Chemnitz,40.9,33.7,41.2,28. Jun,38.0,63.1
57,Pforzheim,40.3,41.8,56.4,27. Feb,44.2,31. Aug
58,Mainz,40.1,57.8,58.2,32.0,36.8,15. Sep
59,Ludwigshafen am Rhein,39.1,51.2,44.7,36.2,40.4,23.0
60,Offenbach am Main,38.8,61.2,53.5,26. Aug,36.6,15. Sep
61,Siegen,37.8,36.9,46.6,27. Jan,28. Jan,50.3
62,Würzburg,36.9,43.9,44.8,28. Sep,39.2,27. Aug
63,Cottbus,36.8,49.0,49.6,25. Jan,22. Mai,37.7
64,Herne,36.7,56.3,52.2,21. Jul,25. Jan,28.0
65,Neuss,35.9,37.2,63.2,19. Mai,18. Mai,41.4
66,Leverkusen,35.7,36.6,50.1,22. Jun,29. Jun,39.7
67,Lübeck,35.4,32.1,46.6,26. Mai,44.1,27. Aug
68,Reutlingen,35.2,46.7,46.2,34.5,25. Apr,23. Apr
69,Heilbronn,34.5,36.0,29. Apr,31.2,23. Apr,52.3
70,Saarbrücken,33.6,45.8,47.8,21. Jun,25. Jun,27.0
